star,comment,lable
3,賽車大場面夠炸，劇情不行，突然來了個弟弟。,0
4,"8.1/10 除去被预告泄露过多的动作场面导致正片多少欠缺新意, 多线并行的叙事法造成些许混乱之外; 本作于观众于剧场, 都正是那苦苦等待的所谓上级娱乐作品。 如同英雄般刀枪不入的身体虽让作品完全不符现实, 但同时也让作品可以不惜成本狂轰滥炸, 不论可能性肆意发挥。 大量的动作场面不仅再一次证实了影院存在的必要性, 也充分满足了大众对于此类影片的渴望。 充足的叙事空间为本作创造了一个足够完整的故事, 纵然细节方面漏洞不少, 然而作为一部娱乐作品, 这般程度的失误不足为提。 同时这个足够独立的故事为这部时隔四年多的续作设置了极低的观影门槛, 也让本作更易理解。  作为疫情肆虐后第一部标准超一线大制作, 本片不乏遗憾, 但也未让久等的观众过于失望。",1
1,"电影的艺术手法不是不允许夸张，但你实在不该骗我十二点看科幻片。
看完我只想加入这个爱意满满的大family，因为整个家族的人不仅不会死，甚至还能复活???",0
2,我看的是万磁王？,0
1,看速激系列综合症：范迪塞尔巨石强森放一起分得清、分开了就不记得另一个长相，至今仍分不清See You Again是第几部、印象中美国大片中的亚裔都叫“韩”…,0
3,这么老的IP，都拍了二十年了，你们咋不上天呢？（导演：好的）,0
3,在韩国看了全球首映，看完最想说：“太空行走，太他妈扯淡了！” 还有塞纳的屁股真翘！,0
1,调度乱得一塌糊涂。大量闪回似乎是为贴近该系列最初的街头飙车，但最终的效果像是山寨公司拍出来的赛车电影桥段。范迪塞尔若是担心自己票房号召力衰退，不妨来国产主旋律演些美国大兵上将之类的角色，虽然被挨揍的样子不太好看，但绝不会比他在本片中的德行更挫。,0
3,系列的优点就是格局小，没事赛车／把妹，出事就只能跑路。现在动不动就要拯救世界。,0
4,就是很好奇那俩哥们怎么从太空回来的,1
3,全程两个问题：这都不死？这也可以？？,0
2,杨利伟看了会沉默，加加林看了会流泪,0
2,"唐哥这人不能交朋友，md太深了，之前都八部书了我们还是不知道他有个弟弟。
再这么拍下一部的反派就得是唐哥的四舅姥爷了。",0
4,我觉得作为爆米花??电影是合格的，你们期望太高了吧,1
2,有没有可能，没上过学的老黑们爱看这种电影,0
1,很久很久以前，在遥远的银河系……,0
3,原以为就是个动作片，结果开头大战，让人以为是个战争片，中间以为是个科幻片，主人公钢筋铁骨又像个动漫片，到结尾一看，其实就是一部家庭伦理片！,0
1,求求了，快来个人把 范·全球最装逼·迪塞尔 干掉吧！又一个敌人洗白了，塞隆要什么时候加入大家庭呢？所有人都在装腔作势，根本没有在诠释角色，恶心吐了！,0
2,我都已经放弃了思考，但是开车上太空这件事还是让我一度对自己产生了怀疑，以为走错了片场看的是人车合一仅仅不会变身的《变形金刚》。但凡系列影片用“你从来没告诉我你有个XX”的台词加新人物就已经让人无话可说了，本片还祭出了“XX用了某种办法让我活了下来”的大杀器，其恶心程度根本就是从“诈尸”升级到了“鞭尸”。不晓得创作团队了不了解观众的爽感和爆炸指数不成正比，你下一步就算把地球炸了也不一定比最早的几部“燃”啊。,0
3,3.2星。看笑了。1.下一部如果是主角团手拿光剑对抗威震天，我不意外。2.本片就像一部毫无节制极不健康的重口味色情片，各种下猛药各种高难度不顾美感仿佛这是女优生涯最后一部，毫无前戏全程动次打次，尴尬做作的文戏好比A片里无聊的采访or花絮。也许我会在某段大呼过瘾或被赚走一滴眼泪，但这仅仅是身体本能反应而已，毫不走心。3.范迪塞尔你再给用气泡音说话试试看！4.编剧堪比“神笔马良”，凭空写出新角色，任性复活老角色，毕志飞看了都说好。5.听说要拍到第11部？？？放过观众，也放过保罗沃克吧。,0
3,"6.3/10 感谢范光头老铁刷的火箭666

说实话其实很佩服这个系列能够一次次以突破逻辑的底线来换取最荒诞的场面，一次次以破坏角色的道德底线去培养观众的忍受度。这种心态下的速激系列当然没有一丝可赞赏之处，也许这一部会继续在票房层面取得成功，但是下一部，你们还能拍什么呢?",0
1,收手吧，环球！,0
5,有没有跟我一样，特别喜欢看，但每次看完就不记得看了啥内容的[捂脸],1
3,让我回忆起当年熬夜看《地球最后的夜晚》首映那种无语的心情，不想浪费可能也并不珍贵的时间，但也未能狠狠心起身离开,0
4,"8.1/10 除去被预告泄露过多的动作场面导致正片多少欠缺新意, 多线并行的叙事法造成些许混乱之外; 本作于观众于剧场, 都正是那苦苦等待的所谓上级娱乐作品。 如同英雄般刀枪不入的身体虽让作品完全不符现实, 但同时也让作品可以不惜成本狂轰滥炸, 不论可能性肆意发挥。 大量的动作场面不仅再一次证实了影院存在的必要性, 也充分满足了大众对于此类影片的渴望。 充足的叙事空间为本作创造了一个足够完整的故事, 纵然细节方面漏洞不少, 然而作为一部娱乐作品, 这般程度的失误不足为提。 同时这个足够独立的故事为这部时隔四年多的续作设置了极低的观影门槛, 也让本作更易理解。  作为疫情肆虐后第一部标准超一线大制作, 本片不乏遗憾, 但也未让久等的观众过于失望。 ",1
1,【D】别的不说，至少有一点很明显：为了保持这个IP和这群演员的票房号召力，主创团队已经开始不择手段的摆烂了。第一场大战就已经离谱到无法忽视了，之后又借由角色嘴炮狠狠吐槽“也许我们是无敌的”。这段话彻底验证了我的一个猜想：范光头绝对是想把“速激”系列打造出属于他的“超英”IP，看看后面那场以一敌多的打戏，他是光头，他会开车，他有家人，所以他不需要血清也能成为“美国队长”！各路角色加盟又回归，剧情狂打各种补丁，在最后彻底将这份情怀萎缩成恶心人的圈钱手段。至于续集，还是把吴京找来加盟吧，绝对比现在这堆伐木累有看头。,0
2,杨利伟看了会沉默，加加林看了会流泪,0
3,中间有几部没看，谁能告诉我唐老大是怎么突然从一个地下车手头目变成特工盆友遍天下的超级英雄的....我tm建议直接改名叫Wheelman（赛车侠）算了......,0
1,又假又烂的商业片，圈钱得毫无底线，情节基本乱七八糟，飙车假而俗，俩女的吃拉面的场景差点把我气死，一直在翻搅，就是不吃一口，如此不真实不敬业的粗制滥造！希望这些洋垃圾滚出中国！,0
3,就胡特么开！地球儿已经不够你们耍的了是吗？！（不过没关系我的ff滤镜二尺厚！）结尾鼻酸了，无限cue他真的让我五味杂陈，那个笑容，又心痒又拒绝哇呜……二刷的时候忽然反应过来，开场地雷战之后用飞机接走dom的那位歪鼻子不就是前几集被brian揍鼻梁子好几次的前同事stasiak？！（其实我更喜欢这种类似彩蛋的暗cue，空气中全是他的气息）以及，八年前我就预测韩能活！快请我当编剧！（斥巨资买了F&F爆米花桶，还想要仪表盘可乐杯）,0
2,"唐哥这人不能交朋友，md太深了，之前都八部书了我们还是不知道他有个弟弟。
再这么拍下一部的反派就得是唐哥的四舅姥爷了。",0
1,本质是跳起来左脚踩右脚上天的江湖绝学,0
1,这是碳基生物能想出来的剧情?,0
2,有没有可能，没上过学的老黑们爱看这种电影,0
1,这个系列的编剧已经无知到连作用力=反作用力这种初中物理都不知道的程度了,0
3,何止牛顿的棺材板要按不住了，连我这个物理渣渣都要抠出一个常识黑洞了！小破车涂个陶瓷，装两个推进器就能冲破大气层了？特斯拉看了都说牛！！万能磁铁所到之处能吸能弹，为啥装上了这东西的车开在一起就没事呢？好多好多违背物理科学的事在电影里就很自然的发生了，可能真的像那个老黑说的，他们不是普通人吧，也许激10就会看见，其实他们是复联二队，多姆发现自己原来是绿巨人后裔，莱迪就是黑寡妇第二，总之全员都不是肉体凡胎！这样和这部9的天马行空也有了呼应，就，速度是个科幻片，都是量子搞得鬼！,0
1,真激烈，我竟然睡着了！！！！！！,0
1,很久没有遇到工作日下午也能这么满场的电影，观众大多是衣着时髦的年轻男女，会大声说话，会不断看手机，也会一直拍屏幕。这样的电影和这样的观众，they deserve each other.,0
2,我都已经放弃了思考，但是开车上太空这件事还是让我一度对自己产生了怀疑，以为走错了片场看的是人车合一仅仅不会变身的《变形金刚》。但凡系列影片用“你从来没告诉我你有个XX”的台词加新人物就已经让人无话可说了，本片还祭出了“XX用了某种办法让我活了下来”的大杀器，其恶心程度根本就是从“诈尸”升级到了“鞭尸”。不晓得创作团队了不了解观众的爽感和爆炸指数不成正比，你下一步就算把地球炸了也不一定比最早的几部“燃”啊。,0
2,应该用那个磁铁直接把卫星拉下来,0
2,票价不高的情况下推荐近期有睡眠问题的朋友去看。,0
2,"的確如同裹腳布了。
伴隨林詣彬的回歸，系列第二功臣，編劇克里斯 · 摩根出局，在故事層面開始著手自圓其說，在人物塑造上也有更多關切的心思，都可見林重拾導筒的認真。
1989作為鋪陳而新編的段落，用菲林拍攝，那種汽車城的橘黃色調搭配相當顯眼的膠片顆粒，賽車戲讓人恍惚記得這個系列的原初應該是競速飛馳，最實在本真的東西，到了第九集變成了「從前」，徹底被退位成了復古。
是，劇本花心思了，沒說它就不鬼扯。Family來Family去，本質所有角色只要被光頭強(我就這麼叫他)認定是Family，這人必定骨骼精奇，有神功護體。你就能隨意得復活，隨意得上太空，隨意得救世界。
拳腳動作戲一塌糊塗，主力呈現的飛車追逐也弄得像小孩手抓玩具在比劃。不刺激，無新意，還冗長。
剩下最後三集，我倒要看林詣彬還怎麼編下去。",0
2,离谱他妈给离谱开门,0
5,做不到客观评分 因为我真的很爱速激系列,1
2,在电影院看着东西和在电影院坐牢有什么区别，,0
3,如果还沉浸在当年《速度与激情7》带给我们的过瘾加感动造就的最高水平里不能自拔，那么就会对这样的“烧钱”的爆米花?电影?给予了很高的期望和自己的情怀，也就有了或多或少的苛责心理；其实系列多少部了，毕竟故事(合理性)早就不是看点，而在追逐枪战幽默和异想天开倒是“惊喜不惊喜”的“只有你想不到”。反正撞车也撞了，爆点也炸了…男人的那点儿肾上腺素也满足了，(电影院里倒是经常传出女生的爆笑，对这样的一个纯男人的电影也是一种不可思议 )142分钟影片?彩蛋看完，只是后半夜在回程的路上一直不知不觉没有把“油门”踩到位罢了，电影?带给我们逃离生活，生活把电影?带给我们的快感耗尽，所谓均衡就是这样吧，所以我们需要看电影来调剂生活的压力释放只是我们经常被“前方?限速80违法拍摄，当前车速…您已超速”……,0
2,多米尼克family和复联干架谁会赢？我有点不确定,0
2,下一部不上火星说不过去了,0
1,太难看了，下一部应该是打九头蛇吧。,0
1,哪怕当纯基片拍，我多少都不会给一星，要是能在太空搞基，我至少给三星,0
2,"什么都还在，也什么都搬出来了，行动团队的人都是原班，餐前祷告还有，车也都还是那些车，那台上天入地的道奇挑战者飙了10年，死去的韩复活了，开的还是那台马自达RX7，颜色喷漆都没变，盖尔加朵在闪回里，杰森斯坦森在彩蛋里，就连布莱恩那台蓝色GTR都还在电影最后惊鸿一瞥。

但就是无聊，上太空，上宇宙，汽车上装火箭，装世界最牛的大磁铁，一通没有任何行动逻辑和科学道理的乱轰，乱冲，乱炸，电影就结束了。

每一场的文戏的情绪点都是在重复爱和Family这套说了十年的东西，没有命悬一线，没有紧张刺激，一切都只有奇观的堆砌，你知道他们一定不会死的，这个系列已经不舍得死人了，因为要硬拍下去，要继续靠这群人赚钱，死了也必须要复活。
",0
2,《速度与激情》系列后面几部，和《变形金刚》系列后面几部一样，都是为了圈钱。不同的是，它比变形金刚还烂还长…,0
2,人都是水泥做的，水泥都是木屑做的。子弹都是瞎的，主角们都是不朽的。小破车不但能防弹，小破车还能上太空。编剧成功克服了物理定律，我差点都看出脑水肿了。,0
3,车都飞上天，冲太空了，人还毫发无伤，剧中角色也发起了破壁之问。。,0
2,"韩可以复活，但米娅永远不能。
米娅不出现，粉丝可以接受一家三口隐退的这个设定，但米娅出现，只是再一次残忍的提醒粉丝接受现实——布莱恩——那个缔造了速激经典的元老之一——是真的再也回不来了。
虽然片尾出现了布莱恩的经典蓝色超跑，可这样的一次大事件，布莱恩没有出现在队伍当中，是严重不符合系列所有关于“家庭”这个主题的设定的。
光头说速激会以第十部作为结束，也许真的在最后，布莱恩会以另一种形象出现作为最后的大团圆——要么沃克弟弟参与拍摄处理过后加入第十部的故事，要么只在最后出现几个甚至一个镜头表示大团圆。
光头者联盟这几年撕番的现象越来越严重，巨石退出，郭达隐退，只有迪塞尔还不停地借速激显示自己的霸主地位和绝对控制权。
如今看来，阿塞拜疆穿越大楼的时候布莱恩的那句“车不能飞”，更像是一种告诫。",0
2,"刚刚看完《速度与激情9》的零点首映场，橘子君来吐槽一下吧！
这是一部超级大烂片啊，毫无看点，一丁点看点都没有，观影过程感受不到一点激情，全程呆滞！以前的剧情叫无脑，这部的剧情就是shit；以前还有几个光头的魅力叠加，这部就剩一个了，关键是怎么折腾都不死啊，他就是不死啊，咋整都不死啊，顶多受点皮外伤，我就想说导演啊，过分了啊，你至少让我担心一下主角的安危啊，让我参与一下啊，没给机会。
这些咱暂且不提，说说动作戏。前期宣传的什么飙车过雷区、电磁吸附车以及开车上太空等等噱头，实际看的时候就跟笑话一样，索然无味。以前的贴身肉搏戏也基本没有了，新加入的约翰塞纳全程拉拉着他那张本来就很长的脸，就那一个表情，走完全场，一身肌肉，基本没用！
哎，烂片，绝对烂片",0
4,就是很好奇那俩哥们怎么从太空回来的,1
1,怀念速5，街头拉保险柜,0
2,简直尼玛离谱，大晚上看零点首映看了个几把，一开头整出来个爹我就直觉大事不好，操果然又整活出来个弟弟，整活就整活呗，这弟弟脑子都不带的吗看来也真就是个弟弟。飞车戏拍的比超英神话完全有过之无不及，就是作就是造完全不用担心受伤，事实也确实如此，是真的牛批，韩说复活就复活，还带调侃确实还可以再敷衍点，一众小队全成了唐家老大的工具人，整片也都是唐家家务事，他妈的格局简直有了，故事逻辑简直侮辱人智商，开头给叫过去就为开个密码锁？结尾卫星都发射了你找个地方老实待着传输数据不行？还非得开个车硬上飙车戏？难道移动信号不好还得一边移动一边找信号？全片就是无脑突突突，哦对开车都他妈撞卫星了愣是屁事没有，唐家人是真的强，服了我都，谁看谁后悔，谁看谁骂街。,0
1,我从来没在电影院睡着过……,0
3,"由于本片出现了密集星战梗，所以我看完的感想主要是：有的韩养儿子，他就死了。
有的韩养女儿，他就活了。",0
1,25/100，该系列预设了一个现实逻辑，却要神化人物，人物的自我调侃只是遮羞布。生造无趣的夸张场面无非是想象力的缺失，试问谁真的有兴趣看一个以飙车为卖点的系列电影飞向太空？动作戏调度更是混乱至极，根本找不到看点在哪，唯一觉得有趣之处是台词提及了几次星战。,0
3,你们不要再打啦！！！再打就去外太空打吧！！！,0
1,我手里如果有一把枪，真的会忍不住想给范迪塞尔脑门来一发,0
3,林诣彬还是差了温子仁不止一点，而且发挥不稳定。传统车战还是不错的，上太空炸卫星太扯淡。塞隆女王和郭达下集再见吧。,0
2,研究下票房前10，就会明白我们最喜欢的类型。一种是“忠孝曲艺”（战狼李焕英），一种是“马戏杂技”（速激唐人街）。除了二者，都不赚钱。,0
1,进行到第9集，主角突然冒出一位做间谍的反派兄弟，为了让人相信，还安插了青年岁月。交代前史故事要有依有据，只有在观众看不到简单答案的前提下（比如《夺宝奇兵3》里疤痕、辫子、毡帽和怕蛇的由来），前史才是有趣的补充。任何足以引起人们兴趣的角色，都依赖于神秘色彩而变得有趣。前传的功能恰巧是消除这种神秘色彩，一味为了迎合新故事而做的所谓前史，往往会使经典角色开始贬值。 整体上，角色们都开启了“上帝不死模式”，公路上的戏让我以为自己在看《信条》，甚至最后还上了太空，太扯了。,0
